first_name,last_name,credit_card,transaction_amount,purchase_date
Sibbie,Millan,5108756704396610,$446.91,2022-06-09
Daria,Totton,5108751754949384,$322.29,2022-11-06
Malina,Baldack,5048374589998329,$491.59,2022-01-20
Ebeneser,Cutforth,5108750043844455,$281.13,2022-11-07
Neala,Guittet,5108752280955002,$377.13,2022-03-20
Juline,Ridges,5048371504740257,$427.49,2022-08-28
Mattie,Hadigate,5048370313224677,$74.51,2022-01-23
Venus,Leisman,5108752169360456,$315.81,2022-02-22
Moses,Worviell,5108750239232804,$274.92,2022-05-28
Nick,Arnatt,5108757415324271,$19.44,2022-03-30
Gerry,Pantridge,5048376490222418,$31.29,2022-11-23
Sapphire,Corneljes,5048377792723962,$147.49,2022-08-19
Letty,Joly,5108755093201449,$423.89,2022-02-14
Ardenia,Beecroft,5048379340415398,$414.82,2022-07-20
Bjorn,MacGilfoyle,5108759673149697,$174.31,2022-05-10
Lorette,Pautot,5108753164815783,$284.48,2022-09-05
Meryl,Liggens,5108758509204700,$479.94,2022-07-17
Thebault,Raccio,5048370669327587,$309.25,2022-08-28
Brandtr,Gregan,5048376462868008,$158.86,2022-06-23
Max,Godier,5048379100423020,$343.52,2022-05-17
Zia,Kaasmann,5108753410316305,$406.44,2022-03-21
Oralia,Bubb,5108755492255244,$334.34,2022-07-09
Merry,Lawles,5048376761838256,$486.09,2022-06-29
Isaiah,Gerrad,5108751213805482,$177.03,2022-08-04
Teressa,Bedding,5108752098960806,$499.04,2022-11-18
Mitchel,Vankin,5048375456985653,$227.75,2022-10-27
Pryce,Carbine,5048373688306269,$407.52,2022-10-07
Dylan,Dear,5108755568740269,$271.91,2022-06-21
Jolene,Snooks,5108752916719475,$194.90,2022-11-29
Arielle,Cownden,5108751499835138,$314.93,2022-01-04
Odie,Nichols,5048378467905363,$207.00,2022-11-06
Toiboid,Sunners,5108752583195322,$456.98,2022-03-22
Hope,Myderscough,5108759759286983,$304.70,2022-07-26
Janette,Breinl,5108755538497859,$391.20,2022-10-15
